Student Name,Student ID,City,Start Year,Birth Date,Average Grade,Score 1,Score 2,Score 3,Score 4,Score 5
Melissa,504890752,Ashdod,2023,2010-11-14,66,1,1,1,5,1
Patty,900146288,Jerusalem,2023,2010-05-26,90,5,5,5,3,1
Brittany,968841786,Tel Aviv,2024,2015-09-01,76,4,5,4,5,3
Stephanie,986212605,Ashdod,2024,2001-06-23,86,4,4,4,2,5
Bethany,611784315,Rosh Haain,2024,2013-11-27,95,5,3,5,3,4
Shannon,181918284,Rishon Lezion,2024,2006-03-06,69,4,5,4,5,4
Donna,749146527,Jerusalem,2023,2018-06-12,73,5,5,5,1,1
Wendy,722242308,Ashdod,2023,2021-04-27,66,4,4,4,2,1
Sabrina,218414852,Jerusalem,2023,2002-08-15,98,1,2,1,1,2
Laura,823934009,Tel Aviv,2024,2024-06-19,99,4,5,4,3,5
Christopher,62331722,Haifa,2024,2004-03-22,68,4,4,4,2,5
Chloe,846804652,Petah Tikva,2023,2000-04-13,73,2,2,2,3,1
Tom,726066136,Haifa,2024,2013-06-14,67,4,4,4,4,1
